,company,name,year,Price,kms_driven,fuel_type
64,Volkswagen,Volkswagen Polo Highline,2014,315000,60000,Petrol
65,Skoda,Skoda Fabia Classic,2010,182000,60000,Petrol
66,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
67,Chevrolet,Chevrolet Spark LS,2010,110000,41000,Petrol
68,Renault,Renault Duster 110PS,2012,501000,35000,Diesel
69,Honda,Honda City,2015,448999,54000,Petrol
70,Mini,Mini Cooper S,2013,1891111,13000,Petrol
71,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
72,Skoda,Skoda Fabia 1.2L,2011,159500,38200,Diesel
73,Honda,Honda Amaze,2015,344999,22000,Petrol
74,Honda,Honda Amaze,2015,344999,22000,Petrol
75,Renault,Renault Duster,2014,449999,50000,Diesel
76,Mini,Mini Cooper S,2013,1891111,13500,Petrol
77,Mahindra,Mahindra Scorpio S4,2015,865000,30000,Diesel
78,Mahindra,Mahindra Scorpio VLX,2014,699000,50000,Diesel
79,Mahindra,Mahindra Quanto C8,2013,375000,20000,Diesel
80,Ford,Ford EcoSport,2017,489999,39000,Petrol
81,Honda,Honda Brio,2012,224999,30000,Petrol
82,Volkswagen,Volkswagen Vento Highline,2019,1200000,3600,Diesel
83,Hyundai,Hyundai i20 Magna,2009,195000,32000,Petrol
84,Toyota,Toyota Corolla Altis,2010,351000,38000,Diesel
85,Hyundai,Hyundai Verna Transform,2008,160000,45000,Petrol
86,Toyota,Toyota Corolla Altis,2009,240000,35000,Petrol
87,Honda,Honda City 1.5,2005,90000,50000,Petrol
88,Hyundai,Hyundai Elite i20,2014,415000,32000,Petrol
89,Skoda,Skoda Fabia 1.2L,2011,155000,45863,Diesel
90,BMW,BMW 3 Series,2011,600000,60500,Petrol
91,Maruti,Maruti Suzuki A,2011,189500,12500,Petrol
92,Toyota,Toyota Etios GD,2013,350000,60000,Diesel
93,Ford,Ford Figo Diesel,2012,210000,35000,Diesel
94,Maruti,Maruti Suzuki Swift,2014,390000,35000,Petrol
95,Chevrolet,Chevrolet Beat LT,2012,135000,45000,Diesel
96,BMW,BMW 7 Series,2009,1600000,35000,Petrol
97,Mahindra,Mahindra XUV500 W8,2013,701000,38000,Diesel
98,Hyundai,Hyundai i10 Magna,2014,265000,18000,Petrol
99,Hyundai,Hyundai Verna Fluidic,2015,525000,35000,Diesel
100,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
101,Maruti,Maruti Suzuki Ertiga,2016,635000,29000,Petrol
102,Ford,Ford EcoSport Titanium,2014,550000,44000,Diesel
103,Maruti,Maruti Suzuki Ertiga,2016,575000,29000,Petrol
104,Maruti,Maruti Suzuki Ertiga,2013,485000,42000,Diesel
105,Maruti,Maruti Suzuki Alto,2012,155000,14000,Petrol
106,Hyundai,Hyundai Grand i10,2014,345000,49000,Diesel
107,Honda,Honda Amaze 1.2,2014,325000,42000,Petrol
108,Hyundai,Hyundai i20 Asta,2012,329500,36200,Diesel
109,Ford,Ford Figo Diesel,2014,195000,50000,Diesel
110,Maruti,Maruti Suzuki Eeco,2015,251111,55000,Petrol
111,Maruti,Maruti Suzuki Ertiga,2014,569999,45000,Petrol
112,Maruti,Maruti Suzuki Esteem,2007,69999,51000,Petrol
113,Maruti,Maruti Suzuki Ritz,2014,299999,19000,Petrol
114,Maruti,Maruti Suzuki Dzire,2009,220000,46000,Petrol
115,Maruti,Maruti Suzuki Ritz,2013,399999,33000,Diesel
116,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
117,Maruti,Maruti Suzuki Dzire,2015,450000,104000,Diesel
118,Toyota,Toyota Etios Liva,2014,270000,55000,Petrol
119,Hyundai,Hyundai i20 Sportz,2011,350000,33333,Diesel
120,Chevrolet,Chevrolet Spark,2012,158400,33600,Petrol
121,Maruti,Maruti Suzuki Alto,2017,350000,5600,Petrol
122,Nissan,Nissan Micra XV,2011,179000,41000,Petrol
123,Maruti,Maruti Suzuki Swift,2007,125000,70000,Petrol
124,Maruti,Maruti Suzuki Alto,2018,200000,7500,Petrol
125,Honda,Honda Amaze 1.5,2013,299000,45000,Diesel
126,Maruti,Maruti Suzuki Alto,2015,220000,38000,Petrol
127,Chevrolet,Chevrolet Beat,2015,150000,30000,Petrol
128,Honda,Honda City 1.5,2010,285000,35000,Petrol
129,Ford,Ford EcoSport Trend,2016,830000,24330,Diesel
130,Hyundai,Hyundai i20 Asta,2009,210000,65480,Petrol
131,Maruti,Maruti Suzuki Swift,2013,340000,41000,Petrol
132,Tata,Tata Indica V2,2006,90000,20000,Petrol
133,Hindustan,Hindustan Motors Ambassador,2000,70000,200000,Diesel
134,Toyota,Toyota Corolla Altis,2010,289999,70000,Petrol
135,Toyota,Toyota Corolla Altis,2012,349999,59000,Petrol
136,Toyota,Toyota Innova 2.5,2012,849999,99000,Diesel
137,Volkswagen,Volkswagen Jetta Highline,2014,749999,46000,Diesel
138,Volkswagen,Volkswagen Polo Comfortline,2015,399999,2800,Petrol
139,Volkswagen,Volkswagen Polo,2014,274999,32000,Petrol
140,Mahindra,Mahindra Scorpio,2015,984999,22000,Diesel
141,Renault,Renault Duster,2014,449999,50000,Diesel
142,Honda,Honda Amaze,2015,344999,22000,Petrol
143,Nissan,Nissan Sunny,2012,224999,45000,Petrol
144,Hyundai,Hyundai Elite i20,2018,599999,21000,Petrol
145,Renault,Renault Kwid,2016,244999,11000,Petrol
146,Renault,Renault Duster,2013,399999,41000,Diesel
147,Ford,Ford EcoSport,2017,489999,39000,Petrol
148,Renault,Renault Duster,2014,474999,50000,Diesel
149,Mahindra,Mahindra Scorpio VLX,2011,499999,66000,Diesel
150,Maruti,Maruti Suzuki Alto,2018,310000,3000,Petrol
151,Chevrolet,Chevrolet Spark LT,2010,85000,45000,Petrol
152,Datsun,Datsun Redi GO,2016,245000,7000,Petrol
153,Maruti,Maruti Suzuki Swift,2010,189500,38500,Diesel
154,Fiat,Fiat Punto Emotion,2012,169500,37200,Diesel
155,Maruti,Maruti Suzuki Swift,2010,159500,43200,Diesel
156,Toyota,Toyota Etios GD,2013,275000,24800,Petrol
157,Hyundai,Hyundai i20 Sportz,2014,370000,60000,Diesel
158,Hyundai,Hyundai i10 Sportz,2010,168000,45872,Petrol
159,Chevrolet,Chevrolet Beat LT,2011,150000,40000,Diesel
160,Chevrolet,Chevrolet Beat LS,2011,145000,45000,Diesel
161,Chevrolet,Chevrolet Beat LT,2012,98500,38000,Diesel
162,Mahindra,Mahindra Scorpio VLX,2014,699000,50000,Diesel
163,Tata,Tata Indigo CS,2011,85000,11400,Diesel
164,Toyota,Toyota Corolla Altis,2015,575000,42000,Petrol
165,Honda,Honda City 1.5,2014,549000,39000,Petrol
166,Maruti,Maruti Suzuki Swift,2011,209000,47000,Diesel
167,Hyundai,Hyundai Eon Era,2013,185000,27000,Petrol
168,Mahindra,Mahindra Scorpio S10,2015,900000,97200,Diesel
169,Mahindra,Mahindra XUV500,2014,699999,52000,Diesel
170,Honda,Honda Brio,2012,224999,30000,Petrol
171,Ford,Ford Fiesta,2011,274999,55000,Diesel
172,Honda,Honda Amaze,2013,284999,46000,Diesel
173,Honda,Honda City,2015,599999,30000,Diesel
174,Maruti,Maruti Suzuki Wagon,2012,199999,44000,Petrol
175,Honda,Honda City,2014,544999,45000,Diesel
176,Hyundai,Hyundai i20,2009,199000,31000,Petrol
177,Tata,Tata Indigo eCS,2016,320000,175430,Diesel
178,Hyundai,Hyundai Fluidic Verna,2015,540000,38000,Diesel
179,Mahindra,Mahindra Quanto C8,2013,340000,37000,Diesel
180,Fiat,Fiat Petra ELX,2008,75000,65000,Petrol
181,Skoda,Skoda Fabia 1.2L,2011,159500,38200,Diesel
182,Mini,Mini Cooper S,2013,1891111,13000,Petrol
183,Hyundai,Hyundai Santro Xing,2005,49000,7500,Petrol
184,Maruti,Maruti Suzuki Ciaz,2016,700000,3350,Petrol
185,Maruti,Maruti Suzuki Zen,2000,55000,60000,Petrol
186,Honda,Honda City,2015,448999,54000,Petrol
187,Hyundai,Hyundai Creta 1.6,2017,895000,32000,Petrol
188,Mahindra,Mahindra Scorpio SLX,2007,355000,75000,Diesel
189,Mahindra,Mahindra Scorpio SLE,2012,565000,62000,Diesel
190,Toyota,Toyota Innova 2.5,2006,365000,73000,Diesel
191,Maruti,Maruti Suzuki Alto,2011,145000,41000,Petrol
192,Maruti,Maruti Suzuki Wagon,2011,210000,35000,Petrol
193,Tata,Tata Nano Cx,2013,40000,2200,Petrol
194,Maruti,Maruti Suzuki Alto,2013,125000,39000,Petrol
195,Maruti,Maruti Suzuki Wagon,2009,135000,45000,Petrol
196,Maruti,Maruti Suzuki Swift,2006,135000,45000,Petrol
197,Tata,Tata Sumo Victa,2012,285000,65000,Diesel
198,Maruti,Maruti Suzuki Wagon,2010,145000,54870,Petrol
199,Maruti,Maruti Suzuki Alto,2010,135000,34580,Petrol
200,Volkswagen,Volkswagen Passat Diesel,2009,450000,97000,Diesel
201,Renault,Renault Scala RxL,2015,375000,25000,Diesel
202,Mahindra,Mahindra Quanto C8,2013,375000,20000,Diesel
203,Hyundai,Hyundai Grand i10,2014,365000,20000,Petrol
204,Hyundai,Hyundai i20 Active,2015,500000,18000,Petrol
205,Mahindra,Mahindra Xylo E4,2012,400000,35000,Diesel
206,Mahindra,Mahindra Jeep MM,2019,390000,60,Diesel
207,Renault,Renault Duster 110PS,2012,501000,35000,Diesel
208,Mahindra,Mahindra Bolero SLE,2013,330000,80200,Diesel
209,Force,Force Motors Force,2015,580000,3200,Diesel
210,Maruti,Maruti Suzuki SX4,2012,265000,46000,Diesel
211,Mahindra,Mahindra Jeep CL550,2019,379000,0,Diesel
212,Maruti,Maruti Suzuki Alto,2015,219000,5000,Petrol
213,Mahindra,Mahindra Jeep CL550,2018,385000,588,Diesel
214,Toyota,Toyota Etios,2011,275000,36000,Diesel
215,Volkswagen,Volkswagen Polo,2015,330000,38000,Diesel
216,Honda,Honda City ZX,2008,110000,45000,Petrol
217,Maruti,Maruti Suzuki Wagon,2006,80000,71200,Petrol
218,Honda,Honda City VX,2016,519000,52000,Diesel
219,Mahindra,Mahindra Thar CRDe,2016,730000,29000,Diesel
220,Mitsubishi,Mitsubishi Pajero Sport,2015,1475000,47000,Diesel
221,Audi,Audi A4 1.8,2009,699000,47000,Petrol
222,Mercedes,Mercedes Benz GLA,2015,2000000,20000,Diesel
223,Land,Land Rover Freelander,2015,2100000,30000,Diesel
224,Renault,Renault Kwid RXT,2017,340000,5000,Petrol
225,Tata,Tata Aria Pleasure,2014,390000,35000,Diesel
226,Mercedes,Mercedes Benz B,2014,1400000,31000,Petrol
227,Datsun,Datsun GO T,2016,245000,7000,Petrol
228,Tata,Tata Indigo eCS,2016,320000,175430,Diesel
229,Tata,Tata Indigo eCS,2016,320000,175400,Diesel
230,Honda,Honda Jazz VX,2016,450000,41000,Petrol
231,Honda,Honda Amaze 1.2,2014,311000,33000,Petrol
232,Honda,Honda Amaze,2013,284999,46000,Diesel
233,Honda,Honda City,2012,399999,45000,Petrol
234,Honda,Honda City,2015,599999,39000,Diesel
235,Honda,Honda Amaze,2015,344999,22000,Petrol
236,Audi,Audi A4 1.8,2009,699000,47000,Petrol
237,Force,Force Motors Force,2015,580000,3200,Diesel
238,Mahindra,Mahindra Scorpio S4,2015,855000,30000,Diesel
239,Hyundai,Hyundai i20 Active,2015,535000,37000,Diesel
240,Mini,Mini Cooper S,2013,1891111,13000,Petrol
241,Maruti,Maruti Suzuki Ciaz,2017,699000,14000,Petrol
242,Chevrolet,Chevrolet Tavera Neo,2013,375000,55000,Diesel
243,Honda,Honda Amaze,2013,284999,46000,Diesel
244,Hyundai,Hyundai Eon Sportz,2012,178000,30000,Petrol
245,Tata,Tata Sumo Gold,2013,300000,50000,Diesel
246,Maruti,Maruti Suzuki Wagon,2003,90000,45000,Petrol
247,Maruti,Maruti Suzuki Esteem,2006,95000,45000,Petrol
248,Maruti,Maruti Suzuki Eeco,2015,255000,9300,Petrol
249,Chevrolet,Chevrolet Enjoy 1.4,2013,245000,55000,Diesel
250,Hyundai,Hyundai i20 Asta,2012,329500,36200,Diesel
251,Ford,Ford Figo Diesel,2014,195000,50000,Diesel
252,Maruti,Maruti Suzuki Eeco,2015,251111,55000,Petrol
253,Maruti,Maruti Suzuki Ertiga,2014,569999,45000,Petrol
254,Maruti,Maruti Suzuki Esteem,2007,69999,51000,Petrol
255,Maruti,Maruti Suzuki Ritz,2014,299999,19000,Petrol
256,Maruti,Maruti Suzuki Dzire,2009,220000,46000,Petrol
257,Maruti,Maruti Suzuki Ritz,2013,399999,33000,Diesel
258,Maruti,Maruti Suzuki SX4,2010,249999,36000,Petrol
259,Maruti,Maruti Suzuki Wagon,2015,289999,22000,Petrol
260,Mini,Mini Cooper S,2013,1891111,13500,Petrol
261,Nissan,Nissan Terrano XL,2015,499999,60000,Diesel
262,Renault,Renault Duster 85,2013,489999,27000,Diesel
263,Renault,Renault Duster 85,2014,489999,59000,Diesel
264,Renault,Renault Duster 85,2015,549999,19000,Diesel
265,Maruti,Maruti Suzuki Dzire,2013,380000,30000,Petrol
266,Renault,Renault Kwid RXT,2018,325000,15000,Petrol
267,Maruti,Maruti Suzuki Maruti,2003,57000,56758,Petrol
268,Renault,Renault Kwid 1.0,2018,349999,10000,Petrol
269,Renault,Renault Lodgy 85,2018,689999,20000,Diesel
270,Renault,Renault Scala RxL,2014,349999,49000,Diesel
271,Hyundai,Hyundai Grand i10,2014,410000,41000,Petrol
272,Maruti,Maruti Suzuki Swift,2011,225000,45000,Petrol
273,Chevrolet,Chevrolet Beat LS,2010,120000,43000,Petrol
274,Tata,Tata Indigo eCS,2016,320000,175430,Diesel
275,Hyundai,Hyundai Santro Xing,2000,59000,56450,Petrol
276,Hyundai,Hyundai Fluidic Verna,2015,540000,38000,Diesel
277,Chevrolet,Chevrolet Beat LS,2010,80000,56000,Petrol
278,Mahindra,Mahindra Quanto C8,2013,340000,37000,Diesel
279,Fiat,Fiat Petra ELX,2008,75000,65000,Petrol
280,Chevrolet,Chevrolet Beat LS,2015,220000,32700,Petrol
281,Skoda,Skoda Fabia 1.2L,2011,159500,38200,Diesel
282,Ford,Ford EcoSport Titanium,2016,599000,30000,Diesel
283,Hyundai,Hyundai Accent GLX,2006,80000,56000,Petrol
284,Mahindra,Mahindra TUV300 T4,2016,675000,9000,Diesel
285,Mini,Mini Cooper S,2013,1891111,13000,Petrol
286,Mini,Mini Cooper S,2013,1891111,13000,Petrol
287,Tata,Tata Indica V2,2008,150000,11000,Petrol
288,Mini,Mini Cooper S,2013,1891111,13000,Petrol
289,Tata,Tata Indigo CS,2009,72500,46000,Diesel
290,Maruti,Maruti Suzuki Swift,2019,610000,73,Petrol
291,Mahindra,Mahindra Scorpio VLX,2004,230000,160000,Diesel
292,Honda,Honda Accord,2009,175000,58559,Petrol
293,Mahindra,Mahindra Scorpio S4,2015,855000,30000,Diesel
294,Chevrolet,Chevrolet Tavera Neo,2013,375000,55000,Diesel
295,Ford,Ford EcoSport Titanium,2014,520000,57000,Diesel
296,Maruti,Maruti Suzuki Ertiga,2015,524999,50000,Diesel
297,Honda,Honda Amaze,2014,299999,37000,Petrol
298,Maruti,Maruti Suzuki Dzire,2012,299999,40000,Petrol
299,Honda,Honda City,2011,284999,55000,Petrol
300,Mahindra,Mahindra Scorpio 2.6,2007,220000,170000,Diesel
301,Maruti,Maruti Suzuki Dzire,2014,424999,55000,Diesel
302,Honda,Honda City,2015,644999,39000,Petrol
303,Honda,Honda Mobilio,2014,399999,44000,Petrol
304,Toyota,Toyota Corolla Altis,2009,199999,65000,Petrol
305,Honda,Honda City,2014,584999,39000,Petrol
306,Skoda,Skoda Laura,2012,349999,44000,Diesel
307,Renault,Renault Duster,2015,449999,49000,Diesel
308,Maruti,Maruti Suzuki Ertiga,2018,799999,9000,Diesel
309,Maruti,Maruti Suzuki Dzire,2015,444999,45000,Diesel
310,Mahindra,Mahindra XUV500,2014,649999,47000,Diesel
311,Hyundai,Hyundai Verna Fluidic,2012,444999,40000,Diesel
312,Maruti,Maruti Suzuki Vitara,2016,689999,29000,Diesel
313,Maruti,Maruti Suzuki Wagon,2016,344999,15000,Petrol
314,Mahindra,Mahindra Scorpio,2015,944999,45000,Diesel
315,Honda,Honda Amaze,2014,274999,35000,Petrol
316,Mahindra,Mahindra XUV500,2013,689999,80000,Diesel
317,Mahindra,Mahindra Scorpio,2013,574999,68000,Diesel
318,Skoda,Skoda Laura,2013,374999,50000,Diesel
319,Volkswagen,Volkswagen Polo,2010,199999,60000,Diesel
320,Hyundai,Hyundai Elite i20,2016,549999,9000,Petrol
321,Tata,Tata Manza Aura,2012,130000,72000,Diesel
322,Chevrolet,Chevrolet Sail UVA,2013,210000,60000,Petrol
323,Renault,Renault Duster 110,2012,501000,38000,Diesel
324,Hyundai,Hyundai Verna Fluidic,2013,401000,45000,Diesel
325,Audi,Audi A4 2.0,2012,1350000,40000,Diesel
326,Hyundai,Hyundai Elantra SX,2013,600000,20000,Petrol
327,Mahindra,Mahindra Scorpio VLX,2013,610000,35000,Diesel
328,Mahindra,Mahindra KUV100 K8,2016,400000,20000,Diesel
329,Renault,Renault Scala RxL,2015,375000,25000,Diesel
330,Mahindra,Mahindra Quanto C8,2013,375000,20000,Diesel
331,Hyundai,Hyundai Grand i10,2014,365000,20000,Petrol
332,Hyundai,Hyundai i20 Active,2015,500000,18000,Petrol
333,Mahindra,Mahindra Xylo E4,2012,400000,35000,Diesel
334,Hyundai,Hyundai Grand i10,2017,524999,6821,Petrol
335,Hyundai,Hyundai i20,2014,449999,23000,Petrol
336,Hyundai,Hyundai Eon,2014,174999,14000,Petrol
337,Hyundai,Hyundai i10,2012,244999,38000,Petrol
338,Hyundai,Hyundai i20 Active,2015,574999,35000,Diesel
339,Datsun,Datsun Redi GO,2017,244999,22000,Petrol
340,Toyota,Toyota Etios Liva,2011,239999,41000,Petrol
341,Hyundai,Hyundai Accent,2010,99999,45000,Petrol
342,Hyundai,Hyundai Verna,2014,489999,44000,Diesel
343,Maruti,Maruti Suzuki Swift,2013,324999,45000,Diesel
344,Toyota,Toyota Fortuner,2011,1074999,52000,Diesel
345,Hyundai,Hyundai i10 Sportz,2012,230000,34000,Petrol
346,Mahindra,Mahindra Bolero Power,2018,699000,1800,Diesel
347,Mahindra,Mahindra XUV500,2015,1000000,15000,Diesel
348,Honda,Honda City 1.5,2010,240000,400000,Petrol
349,Chevrolet,Chevrolet Spark LT,2009,110000,44000,Petrol
350,Mahindra,Mahindra Jeep MM,2019,390000,60,Diesel
351,Renault,Renault Duster 110PS,2012,501000,35000,Diesel
352,Mahindra,Mahindra XUV500,2016,1130000,72000,Diesel
353,Tata,Tata Indigo eCS,2014,250000,40000,Diesel
354,Mahindra,Mahindra Bolero SLE,2013,330000,80200,Diesel
355,Force,Force Motors Force,2015,580000,3200,Diesel
356,Skoda,Skoda Rapid Elegance,2013,340000,48000,Diesel
357,Tata,Tata Vista Quadrajet,2011,120000,90000,Diesel
358,Maruti,Maruti Suzuki Alto,2015,265000,12000,Petrol
359,Maruti,Maruti Suzuki SX4,2012,265000,46000,Diesel
360,Maruti,Maruti Suzuki Zen,2003,85000,69900,Petrol
361,Mahindra,Mahindra Jeep CL550,2019,379000,0,Diesel
362,Hyundai,Hyundai i10 Magna,2011,175000,45000,Petrol
363,Maruti,Maruti Suzuki Alto,2015,219000,5000,Petrol
364,Maruti,Maruti Suzuki Swift,2016,350000,166000,Diesel
365,Honda,Honda City ZX,2008,149000,42000,Petrol
366,Mahindra,Mahindra Jeep CL550,2018,385000,588,Diesel
367,Mahindra,Mahindra Jeep MM,2006,425000,122,Diesel
368,Chevrolet,Chevrolet Beat Diesel,2017,150000,62000,Diesel
369,Honda,Honda City 1.5,2010,225000,70000,Petrol
370,Hyundai,Hyundai Verna 1.4,2014,375000,36000,Petrol
371,Toyota,Toyota Innova 2.5,2012,770000,0,Diesel
372,Maruti,Maruti Suzuki Maruti,1995,30000,55000,Petrol
373,Toyota,Toyota Etios,2011,275000,36000,Diesel
374,Volkswagen,Volkswagen Polo,2015,330000,38000,Diesel
375,Maruti,Maruti Suzuki Swift,2014,335000,55000,Diesel
376,Hyundai,Hyundai Elite i20,2015,450000,20000,Diesel
377,Maruti,Maruti Suzuki Swift,2012,225000,40000,Petrol
378,Maruti,Maruti Suzuki Versa,2004,80000,50000,Petrol
379,Tata,Tata Indigo LX,2016,130000,104000,Diesel
380,Volkswagen,Volkswagen Vento Konekt,2011,245000,65000,Diesel
381,Mercedes,Mercedes Benz C,2002,399000,41000,Petrol
382,Maruti,Maruti Suzuki Ertiga,2013,450000,90000,Diesel
383,Honda,Honda City,2000,65000,80000,Petrol
384,Hyundai,Hyundai Santro Xing,2006,75000,46000,Petrol
385,Maruti,Maruti Suzuki Omni,2001,70000,70000,Petrol
386,Hyundai,Hyundai Sonata Transform,2017,190000,36469,Diesel
387,Hyundai,Hyundai Elite i20,2018,600000,7800,Petrol
388,Volkswagen,Volkswagen Vento Konekt,2011,245000,65000,Diesel
389,Maruti,Maruti Suzuki Alto,2017,240000,60000,Petrol
390,Maruti,Maruti Suzuki Alto,2011,155000,32000,Petrol
391,Honda,Honda Jazz S,2009,169999,24695,Petrol
392,Hyundai,Hyundai Grand i10,2017,450000,15141,Petrol
393,Maruti,Maruti Suzuki Zen,2001,40000,40000,Petrol
394,Mahindra,Mahindra Scorpio W,2012,165000,65000,Diesel
395,Maruti,Maruti Suzuki Alto,2014,270000,22000,Petrol
396,Hyundai,Hyundai Grand i10,2016,280000,59910,Diesel
397,Mahindra,Mahindra XUV500 W8,2012,560000,100000,Diesel
398,Hyundai,Hyundai Creta 1.6,2016,950000,25000,Petrol
399,Hyundai,Hyundai i20 Magna,2013,310000,35000,Petrol
400,Renault,Renault Duster 85,2015,715000,65000,Diesel
401,Hyundai,Hyundai Grand i10,2014,340000,35000,Petrol
402,Honda,Honda Brio V,2012,235000,33000,Petrol
403,Mahindra,Mahindra TUV300 T4,2017,610000,68000,Diesel
404,Chevrolet,Chevrolet Spark LS,2010,95000,23000,Petrol
405,Mahindra,Mahindra TUV300 T8,2018,1000000,4500,Diesel
406,Maruti,Maruti Suzuki Swift,2015,220000,129000,Diesel
407,Nissan,Nissan X Trail,2019,1200000,300,Diesel
408,Maruti,Maruti Suzuki Alto,2015,230000,5000,Petrol
409,Ford,Ford Ikon 1.3,2001,45000,65000,Petrol
410,Toyota,Toyota Fortuner 3.0,2010,940000,131000,Diesel
411,Tata,Tata Manza ELAN,2010,155555,111111,Petrol
412,Mercedes,Mercedes Benz A,2013,1500000,14000,Petrol
413,Chevrolet,Chevrolet Beat LS,2016,210000,22000,Diesel
414,Ford,Ford EcoSport Trend,2013,495000,38000,Diesel
415,Tata,Tata Indigo LS,2016,125000,70000,Diesel
416,Hyundai,Hyundai i20 Magna,2010,195000,36000,Petrol
417,Volkswagen,Volkswagen Vento Highline,2015,550000,34000,Diesel
418,Renault,Renault Kwid RXT,2015,270000,43000,Petrol
419,Ford,Ford EcoSport Titanium,2014,500000,40000,Diesel
420,Honda,Honda Amaze 1.5,2016,240000,160000,Diesel
421,Hyundai,Hyundai Verna 1.6,2017,800000,12000,Petrol
422,BMW,BMW 5 Series,2011,1299000,49000,Diesel
423,Skoda,Skoda Superb 1.8,2011,530000,68000,Petrol
424,Audi,Audi Q3 2.0,2013,1499000,37000,Diesel
425,Mahindra,Mahindra Bolero DI,2012,220000,59466,Diesel
